ts_ns,equity
1735721700000000000,100000.0
1735723500000000000,100000.0
1735725300000000000,100000.0
1735727100000000000,100000.0
1735728900000000000,100000.0
1735730700000000000,100000.0
1735732500000000000,100000.0
1735734300000000000,100000.0
1735736100000000000,100000.0
1735737900000000000,100000.0
1735739700000000000,100000.0
1735741500000000000,100000.0
1735743300000000000,100000.0
1735745100000000000,100000.0
1735746900000000000,100000.0
1735748700000000000,100000.0
1735750500000000000,99999.0
1735752300000000000,99999.0
1735754100000000000,99998.20000000001
1735755900000000000,99998.20000000001
1735757700000000000,99998.20000000001
1735759500000000000,99998.20000000001
1735761300000000000,100149.86
1735763100000000000,100149.86
1735764900000000000,100149.86
1735766700000000000,100149.86
1735768500000000000,100149.86
1735770300000000000,100149.86
1735772100000000000,100149.86
1735773900000000000,100149.86
1735775700000000000,100149.86
1735777500000000000,100149.86
1735779300000000000,100149.86
1735781100000000000,100149.86
1735782900000000000,100149.86
1735784700000000000,100149.86
1735786500000000000,100149.86
1735788300000000000,100149.86
1735789800000000000,100149.86
1735790100000000000,100446.58
1735790400000000000,100446.58
1735790700000000000,100446.58
1735791000000000000,100446.58
1735791300000000000,100446.58
1735791600000000000,100446.58
1735791900000000000,100446.58
1735792200000000000,100446.58
1735792500000000000,100446.58
1735792800000000000,100446.58
1735793100000000000,100446.58
1735793400000000000,100446.58
1735793700000000000,100446.58
1735794000000000000,100446.58
1735794300000000000,100446.58
1735794600000000000,100446.58
1735794900000000000,100446.58
1735795200000000000,100446.58
1735795500000000000,100446.58
1735795800000000000,100446.58
1735796100000000000,100446.58
1735796400000000000,100446.58
1735796700000000000,100446.58
1735797000000000000,100446.58
1735797300000000000,100446.58
1735797600000000000,100446.58
1735797900000000000,100446.58
1735798200000000000,100446.58
1735798500000000000,100446.58
1735798800000000000,100446.58
1735799100000000000,100446.58
1735799400000000000,100446.58
1735799700000000000,100446.58
1735800000000000000,100446.58
1735800300000000000,100446.58
1735800600000000000,100446.58
1735800900000000000,100446.58
1735801200000000000,100446.58
1735801500000000000,100446.58
1735801800000000000,100446.58
1735802100000000000,100446.58
1735802400000000000,100446.58
1735802700000000000,100446.58
1735803000000000000,100446.58
1735803300000000000,100446.58
1735803600000000000,100446.58
1735803900000000000,100446.58
1735804200000000000,100446.58
1735804500000000000,100446.58
1735804800000000000,100446.58
1735805100000000000,100446.58
1735805400000000000,100446.58
1735805700000000000,100446.58
1735806000000000000,100446.58
1735806300000000000,100446.58
1735808100000000000,100446.58
1735809900000000000,100445.58
1735811700000000000,100445.58
1735813500000000000,100445.58
1735815300000000000,100445.58
1735817100000000000,100445.58
1735818900000000000,100445.58
1735820700000000000,100445.58
1735822500000000000,100445.58
1735824300000000000,100445.58
1735826100000000000,100444.58
1735827900000000000,100444.58
1735829700000000000,100444.58
1735831500000000000,100444.58
1735833300000000000,100444.58
1735835100000000000,100444.58
1735836900000000000,100444.58
1735838700000000000,100444.58
1735840500000000000,100444.58
1735842300000000000,100444.58
1735844100000000000,100444.58
1735845900000000000,100444.58
1735847700000000000,100444.58
1735849500000000000,100444.58
1735851300000000000,100444.58
1735853100000000000,100444.58
1735854900000000000,100444.58
1735856700000000000,100444.58
1735858500000000000,100444.58
1735860300000000000,100444.58
1735862100000000000,100444.58
1735863900000000000,100444.58
1735865700000000000,100444.58
1735867500000000000,100443.58
1735869300000000000,100443.58
1735871100000000000,100443.58
1735872900000000000,100443.58
1735874700000000000,100443.58
1735876500000000000,100443.58
1735878300000000000,100443.58
1735880100000000000,100443.58
