ts_ns,equity
1660215600000000000,100000.0
1660237200000000000,100000.0
1660258800000000000,99999.0
1660280400000000000,99999.0
1660302000000000000,99999.0
1660323600000000000,99999.0
1660345200000000000,99999.0
1660366800000000000,99999.0
1660388400000000000,99999.0
1660395600000000000,99999.0
1660399200000000000,100120.73999999999
1660402800000000000,100120.73999999999
1660406400000000000,100120.73999999999
1660410000000000000,100120.73999999999
1660413600000000000,100120.73999999999
1660417200000000000,100120.73999999999
1660420800000000000,100120.73999999999
1660424400000000000,100120.73999999999
1660428000000000000,100120.73999999999
1660431600000000000,100120.73999999999
1660435200000000000,100120.73999999999
1660438800000000000,100120.73999999999
1660442400000000000,100120.73999999999
1660446000000000000,100120.73999999999
1660449600000000000,100120.73999999999
1660453200000000000,100120.73999999999
1660456800000000000,100120.73999999999
1660460400000000000,100120.73999999999
1660464000000000000,100120.73999999999
1660467600000000000,100120.73999999999
1660471200000000000,100120.73999999999
1660474800000000000,100120.73999999999
1660478400000000000,100120.73999999999
1660482000000000000,100120.73999999999
1660485600000000000,100120.73999999999
1660496400000000000,100120.73999999999
1660518000000000000,100119.74
1660539600000000000,100268.29000000001
1660561200000000000,100268.29000000001
1660582800000000000,100268.29000000001
1660604400000000000,100266.29000000001
1660626000000000000,100266.29000000001
1660647600000000000,100266.29000000001
1660669200000000000,100266.29000000001
1660690800000000000,100266.29000000001
1660712400000000000,100266.29000000001
1660734000000000000,100266.29000000001
1660755600000000000,100266.29000000001
1660777200000000000,100266.29000000001
1660798800000000000,100266.29000000001
1660820400000000000,100266.29000000001
1660842000000000000,100266.29000000001
1660863600000000000,100265.29
1660885200000000000,100264.29000000001
1660896000000000000,100264.29000000001
1660899600000000000,98875.29
1660903200000000000,98875.29
1660906800000000000,98875.29
1660910400000000000,98875.29
1660914000000000000,98875.29
1660917600000000000,98875.29
1660921200000000000,98875.29
1660924800000000000,98875.29
1660928400000000000,98875.29
1660932000000000000,98875.29
1660935600000000000,98875.29
1660939200000000000,98875.29
1660942800000000000,98875.29
1660946400000000000,98875.29
1660950000000000000,98875.29
1660953600000000000,98875.29
1660957200000000000,98875.29
1660960800000000000,98875.29
1660964400000000000,98875.29
1660968000000000000,98875.29
1660971600000000000,98875.29
1660975200000000000,98875.29
1660978800000000000,98875.29
1660982400000000000,98875.29
1660986000000000000,98875.29
1660989600000000000,98875.29
1660993200000000000,98875.29
1660996800000000000,98875.29
1661000400000000000,98875.29
1661004000000000000,98875.29
1661007600000000000,98875.29
1661011200000000000,98875.29
1661014800000000000,98875.29
1661018400000000000,98875.29
1661022000000000000,98875.29
1661025600000000000,98875.29
1661029200000000000,98875.29
1661032800000000000,98875.29
1661036400000000000,98875.29
1661040000000000000,98875.29
1661043600000000000,98875.29
1661047200000000000,98875.29
1661050800000000000,98875.29
1661054400000000000,98875.29
1661058000000000000,98875.29
1661061600000000000,98875.29
1661065200000000000,98875.29
1661068800000000000,98875.29
1661072400000000000,98875.29
1661076000000000000,98875.29
1661079600000000000,98875.29
1661083200000000000,98875.29
1661086800000000000,98875.29
1661090400000000000,98875.29
1661094000000000000,98875.29
1661097600000000000,98875.29
1661101200000000000,98875.29
1661104800000000000,98875.29
1661108400000000000,98875.29
1661112000000000000,98875.29
1661115600000000000,98875.29
1661119200000000000,98875.29
1661122800000000000,98875.29
1661126400000000000,98875.29
1661130000000000000,98875.29
1661133600000000000,98875.29
1661137200000000000,98875.29
1661140800000000000,98875.29
1661144400000000000,98875.29
1661148000000000000,98875.29
1661151600000000000,98875.29
1661155200000000000,98875.29
1661158800000000000,98875.29
1661162400000000000,98875.29
1661166000000000000,98875.29
1661169600000000000,98875.29
1661173200000000000,98875.29
1661176800000000000,98875.29
1661180400000000000,98875.29
1661184000000000000,98875.29
1661187600000000000,98875.29
1661191200000000000,98875.29
1661194800000000000,98875.29
1661198400000000000,98875.29
1661202000000000000,98875.29
1661205600000000000,98875.29
1661209200000000000,98875.29
1661212800000000000,98875.29
1661216400000000000,98875.29
1661220000000000000,98875.29
1661223600000000000,98875.29
1661227200000000000,98875.29
1661230800000000000,98875.29
1661234400000000000,98875.29
1661238000000000000,98875.29
1661241600000000000,98875.29
1661252400000000000,98875.29
1661274000000000000,98875.29
1661295600000000000,98875.29
1661317200000000000,98875.29
1661338800000000000,98875.29
1661360400000000000,98875.29
1661382000000000000,98875.29
1661403600000000000,98875.29
1661425200000000000,98875.29
1661446800000000000,98875.29
1661468400000000000,98875.29
1661490000000000000,98875.29
1661511600000000000,98875.29
1661533200000000000,98874.29000000001
1661554800000000000,98873.09000000001
1661576400000000000,98873.09000000001
1661598000000000000,98873.09000000001
1661619600000000000,98873.09000000001
1661623200000000000,98485.89
1661626800000000000,98485.89
1661630400000000000,98485.89
1661634000000000000,98485.89
1661637600000000000,98485.89
1661641200000000000,98485.89
1661644800000000000,98485.89
1661648400000000000,98485.89
1661652000000000000,98485.89
1661655600000000000,98485.89
1661659200000000000,98485.89
1661662800000000000,98485.89
1661666400000000000,98485.89
1661670000000000000,98485.89
1661673600000000000,98485.89
1661677200000000000,98485.89
1661680800000000000,98485.89
1661684400000000000,98485.89
1661688000000000000,98485.89
1661691600000000000,98485.89
1661695200000000000,98485.89
1661698800000000000,98485.89
1661702400000000000,98485.89
1661706000000000000,98485.89
1661709600000000000,98485.89
1661713200000000000,98485.89
1661716800000000000,98485.89
1661720400000000000,98485.89
1661724000000000000,98485.89
1661727600000000000,98485.89
1661731200000000000,98485.89
1661734800000000000,98485.89
1661738400000000000,98485.89
1661742000000000000,98485.89
1661745600000000000,98485.89
1661749200000000000,98485.89
1661752800000000000,98485.89
1661756400000000000,98485.89
1661760000000000000,98485.89
1661763600000000000,98485.89
1661767200000000000,98485.89
1661770800000000000,98485.89
1661774400000000000,98485.89
1661778000000000000,98485.89
1661781600000000000,98485.89
1661785200000000000,98485.89
1661788800000000000,98485.89
1661792400000000000,98485.89
1661796000000000000,98485.89
1661799600000000000,98485.89
1661803200000000000,98485.89
1661806800000000000,98485.89
1661810400000000000,98485.89
1661814000000000000,98485.89
1661817600000000000,98485.89
1661821200000000000,98485.89
1661824800000000000,98485.89
1661828400000000000,98485.89
1661832000000000000,98485.89
1661835600000000000,98485.89
1661839200000000000,98485.89
1661842800000000000,98485.89
1661846400000000000,98485.89
1661850000000000000,98485.89
1661853600000000000,98485.89
1661857200000000000,98485.89
1661860800000000000,98485.89
1661864400000000000,98485.89
1661868000000000000,98485.89
1661871600000000000,98485.89
1661875200000000000,98485.89
1661878800000000000,98485.89
1661882400000000000,98485.89
1661900400000000000,98485.89
1661922000000000000,98484.89
1661943600000000000,98484.89
1661965200000000000,98484.89
1661986800000000000,98484.89
1662008400000000000,98484.89
1662030000000000000,98484.89
1662051600000000000,98484.89
1662073200000000000,98484.89
1662094800000000000,98484.89
1662116400000000000,98484.89
1662138000000000000,98484.89
1662159600000000000,98484.89
1662181200000000000,98484.89
1662202800000000000,98484.89
1662224400000000000,98484.89
1662246000000000000,98484.89
1662267600000000000,98484.89
1662289200000000000,98484.89
1662310800000000000,98483.89
1662332400000000000,98483.89
1662354000000000000,98483.89
1662375600000000000,98483.89
1662397200000000000,98483.89
1662418800000000000,98483.89
1662440400000000000,98483.89
1662462000000000000,98483.89
1662483600000000000,98722.55
1662505200000000000,98722.55
1662526800000000000,98722.55
1662548400000000000,98722.55
1662570000000000000,98722.55
1662591600000000000,98722.34999999999
1662613200000000000,98722.34999999999
1662634800000000000,98722.34999999999
1662656400000000000,98722.34999999999
1662678000000000000,98722.34999999999
1662699600000000000,98721.35
1662721200000000000,98721.35
1662742800000000000,98721.35
1662757200000000000,98721.35
1662760800000000000,98011.37999999999
1662764400000000000,98011.37999999999
1662768000000000000,98011.37999999999
1662771600000000000,98011.37999999999
1662775200000000000,98011.37999999999
1662778800000000000,98011.37999999999
1662782400000000000,98011.37999999999
1662786000000000000,98011.37999999999
1662789600000000000,98011.37999999999
1662793200000000000,98011.37999999999
1662796800000000000,98011.37999999999
1662800400000000000,98011.37999999999
1662804000000000000,98011.37999999999
1662807600000000000,98011.37999999999
1662811200000000000,98011.37999999999
1662814800000000000,98011.37999999999
1662818400000000000,98011.37999999999
1662822000000000000,98011.37999999999
1662825600000000000,98011.37999999999
1662829200000000000,98011.37999999999
1662832800000000000,98011.37999999999
1662836400000000000,98011.37999999999
1662840000000000000,98011.37999999999
1662843600000000000,98011.37999999999
1662847200000000000,98011.37999999999
1662850800000000000,98011.37999999999
1662854400000000000,98011.37999999999
1662858000000000000,98011.37999999999
1662861600000000000,98011.37999999999
1662865200000000000,98011.37999999999
1662868800000000000,98011.37999999999
1662872400000000000,98011.37999999999
1662876000000000000,98011.37999999999
1662879600000000000,98011.37999999999
1662883200000000000,98011.37999999999
1662886800000000000,98011.37999999999
1662890400000000000,98011.37999999999
1662894000000000000,98011.37999999999
1662897600000000000,98011.37999999999
1662901200000000000,98011.37999999999
1662904800000000000,98011.37999999999
1662908400000000000,98011.37999999999
1662912000000000000,98011.37999999999
