trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20220812-060000-001-000-3,O-20220813-020000-001-000-7,SELL,FLAT,0.000000,0.204660,1660345200000000000,2022-08-12 23:00:00+00:00,1660359600000000000,2022-08-13 03:00:00+00:00,14400000000000.0,24430.78,24668.91,['2.01000000 USDT'],-0.00975,-50.75000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20220814-150000-001-000-8,O-20220814-180000-001-000-12,BUY,FLAT,0.000000,0.207020,1660500000000000000,2022-08-14 18:00:00+00:00,1660528800000000000,2022-08-15 02:00:00+00:00,28800000000000.0,24152.2,24896.88,['2.03083235 USDT'],0.03083,152.13000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20220814-180000-001-000-12,O-20220814-150000-001-000-9,SELL,FLAT,0.000000,0.194636,1660528800000000000,2022-08-15 02:00:00+00:00,1660604400000000000,2022-08-15 23:00:00+00:00,75600000000000.0,24896.88,23779.870000000003,['1.89485085 USDT'],0.04487,215.51000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20220814-150000-001-000-9,O-20220817-200000-001-000-16,BUY,FLAT,0.000000,0.225888,1660604400000000000,2022-08-15 23:00:00+00:00,1660780800000000000,2022-08-18 00:00:00+00:00,176400000000000.0,23779.870000000003,23414.09,['2.13431680 USDT'],-0.01538,-84.76000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20220823-090000-001-000-17,O-20220827-100000-001-000-29,BUY,FLAT,0.000000,0.287104,1661526000000000000,2022-08-26 15:00:00+00:00,1661598000000000000,2022-08-27 11:00:00+00:00,72000000000000.0,20898.386219349086,20190.89,['2.36000000 USDT'],-0.03385,-205.48000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20220830-190000-001-000-32,O-20220904-170000-001-000-40,SELL,FLAT,0.000000,0.495016,1661914800000000000,2022-08-31 03:00:00+00:00,1662483600000000000,2022-09-06 17:00:00+00:00,568800000000000.0,20201.347411558418,19414.63073920843,['3.92211135 USDT'],0.03894,385.52000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20220904-170000-001-000-40,O-20220907-060000-001-000-43,BUY,FLAT,0.000000,0.122750,1662483600000000000,2022-09-06 17:00:00+00:00,1662534000000000000,2022-09-07 07:00:00+00:00,50400000000000.0,19465.929999999997,18802.350000000002,['0.93788865 USDT'],-0.03409,-82.39000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20220909-070000-001-000-46,O-20220909-170000-001-000-50,SELL,FLAT,0.000000,0.192748,1662717600000000000,2022-09-09 10:00:00+00:00,1662746400000000000,2022-09-09 18:00:00+00:00,28800000000000.0,21143.09,21236.1,['1.64000000 USDT'],-0.0044,-19.57000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20220917-210000-001-000-55,O-20220919-080000-001-000-63,BUY,FLAT,0.000000,0.310686,1663509600000000000,2022-09-18 14:00:00+00:00,1663578000000000000,2022-09-19 09:00:00+00:00,68400000000000.0,19709.496853961875,18425.84,['2.36000000 USDT'],-0.06513,-401.17000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20220923-000000-001-000-64,O-20220927-000000-001-000-73,BUY,FLAT,0.000000,0.266691,1663938000000000000,2022-09-23 13:00:00+00:00,1664247600000000000,2022-09-27 03:00:00+00:00,309600000000000.0,18748.32,19803.41517689011,['2.05627903 USDT'],0.05628,279.33000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20220927-000000-001-000-73,O-20220927-120000-001-000-78,SELL,FLAT,0.000000,0.233419,1664247600000000000,2022-09-27 03:00:00+00:00,1664283600000000000,2022-09-27 13:00:00+00:00,36000000000000.0,20215.17,20260.74,['1.89372097 USDT'],-0.00225,-12.53000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20220928-000000-001-000-81,O-20220929-030000-001-000-85,SELL,FLAT,0.000000,0.252996,1664398800000000000,2022-09-28 21:00:00+00:00,1664424000000000000,2022-09-29 04:00:00+00:00,25200000000000.0,19763.17,19497.75,['1.99000000 USDT'],0.01343,65.16000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20220929-170000-001-000-88,O-20221005-060000-001-000-100,SELL,FLAT,0.000000,0.749901,1664546400000000000,2022-09-30 14:00:00+00:00,1664953200000000000,2022-10-05 07:00:00+00:00,406800000000000.0,20002.624751133815,20244.1,['6.04000000 USDT'],-0.01207,-187.12000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20221007-140000-001-000-101,O-20221008-220000-001-000-107,BUY,FLAT,0.000000,0.258992,1665262800000000000,2022-10-08 21:00:00+00:00,1665270000000000000,2022-10-08 23:00:00+00:00,7200000000000.0,19305.609999999997,19370.42,['2.00000000 USDT'],0.00336,14.79000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20221011-190000-001-000-108,O-20221013-100000-001-000-112,BUY,FLAT,0.000000,0.321861,1665655200000000000,2022-10-13 10:00:00+00:00,1665684000000000000,2022-10-13 18:00:00+00:00,28800000000000.0,18641.556730110202,19305.240000000005,['2.44272096 USDT'],0.0356,211.17000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20221013-100000-001-000-112,O-20221026-000000-001-000-140,SELL,FLAT,0.000000,2.347661,1665684000000000000,2022-10-13 18:00:00+00:00,1666746000000000000,2022-10-26 01:00:00+00:00,1062000000000000.0,19566.648520470357,19861.94061288529,['25.72727904 USDT'],-0.01509,-1080.16000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20221029-210000-001-000-141,O-20221105-160000-001-000-157,BUY,FLAT,0.000000,0.492640,1667178000000000000,2022-10-31 01:00:00+00:00,1667674800000000000,2022-11-05 19:00:00+00:00,496800000000000.0,20298.800016888603,20950.30339085336,['4.06000000 USDT'],0.0321,316.91000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20221107-170000-001-000-158,O-20221108-130000-001-000-166,BUY,FLAT,0.000000,0.463798,1667858400000000000,2022-11-07 22:00:00+00:00,1667916000000000000,2022-11-08 14:00:00+00:00,57600000000000.0,20266.999377832588,19564.54,['3.69000000 USDT'],-0.03466,-329.49000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20221113-230000-001-000-167,O-20221114-020000-001-000-171,BUY,FLAT,0.000000,0.312798,1668391200000000000,2022-11-14 02:00:00+00:00,1668405600000000000,2022-11-14 06:00:00+00:00,14400000000000.0,15984.78,16674.92,['2.04317463 USDT'],0.04317,213.83000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20221114-020000-001-000-171,O-20221114-160000-001-000-175,SELL,FLAT,0.000000,0.805241,1668405600000000000,2022-11-14 06:00:00+00:00,1668445200000000000,2022-11-14 17:00:00+00:00,39600000000000.0,16897.04214535773,16461.9,['5.36682537 USDT'],0.02575,345.02000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20221115-170000-001-000-176,O-20221121-210000-001-000-190,BUY,FLAT,0.000000,1.218267,1668603600000000000,2022-11-16 13:00:00+00:00,1669068000000000000,2022-11-21 22:00:00+00:00,464400000000000.0,16457.708661073477,15866.649842538365,['9.81000000 USDT'],-0.03591,-935.00000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20221126-160000-001-000-195,O-20221126-160000-001-000-198,BUY,FLAT,0.000000,0.613742,1669597200000000000,2022-11-28 01:00:00+00:00,1669766400000000000,2022-11-30 00:00:00+00:00,169200000000000.0,16293.481495791393,16654.24075741924,['4.04428277 USDT'],0.02214,217.38000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20221126-160000-001-000-198,O-20221201-060000-001-000-209,SELL,FLAT,0.000000,0.933445,1669766400000000000,2022-11-30 00:00:00+00:00,1669878000000000000,2022-12-01 07:00:00+00:00,111600000000000.0,16903.60292420014,17112.329999999998,['6.34571723 USDT'],-0.01235,-201.19000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20221203-190000-001-000-212,O-20221204-050000-001-000-214,SELL,FLAT,0.000000,0.546250,1670130000000000000,2022-12-04 05:00:00+00:00,1670396400000000000,2022-12-07 07:00:00+00:00,266400000000000.0,17118.56397418764,16840.56,['3.70983267 USDT'],0.01624,148.15000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20221204-050000-001-000-214,O-20221211-230000-001-000-229,BUY,FLAT,0.000000,1.261085,1670396400000000000,2022-12-07 07:00:00+00:00,1670922000000000000,2022-12-13 09:00:00+00:00,525600000000000.0,16888.919619466185,17234.941343220882,['12.47044768 USDT'],0.02049,693.74000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20221211-230000-001-000-229,O-20221214-160000-001-000-232,SELL,FLAT,0.000000,0.342426,1670922000000000000,2022-12-13 09:00:00+00:00,1671037200000000000,2022-12-14 17:00:00+00:00,115200000000000.0,17363.01,18094.21,['2.42971965 USDT'],-0.04211,-252.81000000 USDT,True
